matrix_id,rhs_file,n,nnz,k,converged,reason,its,residual,time
57,mat_57.txt,mat_57.mtx,rhs_57_7.bin,1,True,2,24,1.0243056218200103e-07,0.0006895669994264608
57,mat_57.txt,mat_57.mtx,rhs_57_7.bin,2,True,2,16,1.8145891742862988e-07,0.0006778329998269328
57,mat_57.txt,mat_57.mtx,rhs_57_7.bin,3,True,2,12,8.031721311421131e-08,0.000832746999549272
57,mat_57.txt,mat_57.mtx,rhs_57_8.bin,0,True,2,30,8.821785480227433e-08,0.000684677999743144
57,mat_57.txt,mat_57.mtx,rhs_57_8.bin,1,True,2,24,1.1052718726940885e-07,0.0007020689999990282
57,mat_57.txt,mat_57.mtx,rhs_57_8.bin,2,True,2,17,4.5173577368204136e-08,0.0007135229998311843
57,mat_57.txt,mat_57.mtx,rhs_57_8.bin,3,True,2,12,2.231108005721195e-07,0.0008421749998888117
57,mat_57.txt,mat_57.mtx,rhs_57_9.bin,0,True,2,30,1.3220666585309203e-07,0.0006832809995103162
57,mat_57.txt,mat_57.mtx,rhs_57_9.bin,1,True,2,24,1.6635805189062506e-07,0.0007113579995348118
57,mat_57.txt,mat_57.mtx,rhs_57_9.bin,2,True,2,17,7.711530582371279e-08,0.0007221839996418566
57,mat_57.txt,mat_57.mtx,rhs_57_9.bin,3,True,2,12,1.2660663355174014e-07,0.0008289739998872392
61,mat_61.txt,mat_61.mtx,rhs_61_1.bin,0,True,2,32,9.892981105619758e-09,0.0008124220003082883
61,mat_61.txt,mat_61.mtx,rhs_61_1.bin,1,True,2,25,8.565507256713077e-09,0.0007399939995593741
61,mat_61.txt,mat_61.mtx,rhs_61_1.bin,2,True,2,17,3.659763839277702e-08,0.0007239999995363178
61,mat_61.txt,mat_61.mtx,rhs_61_1.bin,3,True,2,12,2.139810013887017e-08,0.0008494390003761509
61,mat_61.txt,mat_61.mtx,rhs_61_2.bin,0,True,2,30,8.812909683720464e-09,0.000669102999381721
61,mat_61.txt,mat_61.mtx,rhs_61_2.bin,1,True,2,24,4.565976853292665e-09,0.000700253000104567
61,mat_61.txt,mat_61.mtx,rhs_61_2.bin,2,True,2,17,3.0930256894231623e-09,0.0007157589998314506
61,mat_61.txt,mat_61.mtx,rhs_61_2.bin,3,True,2,12,6.2115228719239975e-09,0.0008279279991256772
61,mat_61.txt,mat_61.mtx,rhs_61_3.bin,0,True,2,32,7.693952405141762e-09,0.000703955000062706
61,mat_61.txt,mat_61.mtx,rhs_61_3.bin,1,True,2,25,5.804962053573492e-09,0.0007172249997893232
61,mat_61.txt,mat_61.mtx,rhs_61_3.bin,2,True,2,17,3.8898609541784495e-08,0.000706888000422623
61,mat_61.txt,mat_61.mtx,rhs_61_3.bin,3,True,2,12,2.2014719374810404e-08,0.0008214310000767
61,mat_61.txt,mat_61.mtx,rhs_61_4.bin,0,True,2,32,5.603909198020911e-09,0.0006901959995957441
61,mat_61.txt,mat_61.mtx,rhs_61_4.bin,1,True,2,25,2.9265663489721895e-09,0.0007171550005296012
61,mat_61.txt,mat_61.mtx,rhs_61_4.bin,2,True,2,17,5.876891248967754e-09,0.0007052119999571005
61,mat_61.txt,mat_61.mtx,rhs_61_4.bin,3,True,2,12,1.0878932853287254e-08,0.0008814270004222635
61,mat_61.txt,mat_61.mtx,rhs_61_5.bin,0,True,2,32,2.829001556680058e-09,0.0007214850002128514
61,mat_61.txt,mat_61.mtx,rhs_61_5.bin,1,True,2,24,5.936448087804495e-09,0.0006990660003793892
61,mat_61.txt,mat_61.mtx,rhs_61_5.bin,2,True,2,17,5.7688111373614235e-09,0.0007026279999990948
61,mat_61.txt,mat_61.mtx,rhs_61_5.bin,3,True,2,12,1.1335223675114323e-08,0.0008156339999914053
61,mat_61.txt,mat_61.mtx,rhs_61_6.bin,0,True,2,32,2.121827099672973e-08,0.0006896369995956775
61,mat_61.txt,mat_61.mtx,rhs_61_6.bin,1,True,2,25,2.1731113375053468e-08,0.0007125449992599897
61,mat_61.txt,mat_61.mtx,rhs_61_6.bin,2,True,2,18,8.040983301206241e-09,0.0007302849999177852
61,mat_61.txt,mat_61.mtx,rhs_61_6.bin,3,True,2,12,5.6515167773412414e-08,0.0008171009994839551
61,mat_61.txt,mat_61.mtx,rhs_61_7.bin,0,True,2,31,3.591058788225184e-08,0.0006896369995956775
61,mat_61.txt,mat_61.mtx,rhs_61_7.bin,1,True,2,24,4.555533601630764e-08,0.0007017190000624396
61,mat_61.txt,mat_61.mtx,rhs_61_7.bin,2,True,2,17,3.263100202457255e-08,0.0007154790000640787
61,mat_61.txt,mat_61.mtx,rhs_61_7.bin,3,True,2,12,1.460887952303706e-07,0.0008173810001608217
61,mat_61.txt,mat_61.mtx,rhs_61_8.bin,0,True,2,32,1.399133497611477e-08,0.0007066079997457564
61,mat_61.txt,mat_61.mtx,rhs_61_8.bin,1,True,2,25,1.1180696887603562e-08,0.0007140810002965736
61,mat_61.txt,mat_61.mtx,rhs_61_8.bin,2,True,2,18,5.848397645792098e-09,0.0007334990004892461
61,mat_61.txt,mat_61.mtx,rhs_61_8.bin,3,True,2,12,4.66151226553003e-08,0.0008342129995071446
61,mat_61.txt,mat_61.mtx,rhs_61_9.bin,0,True,2,31,1.5218279294298645e-07,0.0006964109998079948
61,mat_61.txt,mat_61.mtx,rhs_61_9.bin,1,True,2,25,4.123229885475507e-08,0.0007157580002967734
61,mat_61.txt,mat_61.mtx,rhs_61_9.bin,2,True,2,17,2.4822909071830504e-07,0.0007084250000843895
61,mat_61.txt,mat_61.mtx,rhs_61_9.bin,3,True,2,12,2.3606973181199156e-07,0.0008268100000350387
61,mat_61.txt,mat_61.mtx,rhs_61_10.bin,0,True,2,31,2.7350067874584724e-08,0.0006846079995739274
61,mat_61.txt,mat_61.mtx,rhs_61_10.bin,1,True,2,24,2.3130528046494888e-08,0.0006997639993642224
61,mat_61.txt,mat_61.mtx,rhs_61_10.bin,2,True,2,17,2.8811994945793285e-08,0.0007006719997662003
61,mat_61.txt,mat_61.mtx,rhs_61_10.bin,3,True,2,12,9.4508705444479e-08,0.0008203139996112441
61,mat_61.txt,mat_61.mtx,rhs_61_11.bin,0,True,2,32,9.447183634366213e-08,0.000703953999618534
61,mat_61.txt,mat_61.mtx,rhs_61_11.bin,1,True,2,25,6.209191570015211e-08,0.0007182030003605178
61,mat_61.txt,mat_61.mtx,rhs_61_11.bin,2,True,2,18,3.124957233111504e-08,0.0007258849991558236
61,mat_61.txt,mat_61.mtx,rhs_61_11.bin,3,True,2,12,1.8975433884182044e-07,0.0008217810000132886
61,mat_61.txt,mat_61.mtx,rhs_61_12.bin,0,True,2,32,8.11089608779339e-08,0.0006950839997443836
61,mat_61.txt,mat_61.mtx,rhs_61_12.bin,1,True,2,24,1.4826825487259792e-07,0.0006934779994480778
61,mat_61.txt,mat_61.mtx,rhs_61_12.bin,2,True,2,17,1.0715004243685118e-07,0.0007000430005064118
61,mat_61.txt,mat_61.mtx,rhs_61_12.bin,3,True,2,12,2.712856064584194e-07,0.0008182890005627996
61,mat_61.txt,mat_61.mtx,rhs_61_13.bin,0,True,2,30,5.267760984635402e-08,0.000672524999572488
61,mat_61.txt,mat_61.mtx,rhs_61_13.bin,1,True,2,25,1.99600413870119e-08,0.0007200179998108069
61,mat_61.txt,mat_61.mtx,rhs_61_13.bin,2,True,2,17,3.465168806814283e-08,0.0007044439998935559
61,mat_61.txt,mat_61.mtx,rhs_61_13.bin,3,True,2,12,3.82011815402835e-08,0.0008229679997384665
61,mat_61.txt,mat_61.mtx,rhs_61_14.bin,0,True,2,32,1.329746985426356e-07,0.0006936879999557277
